Personuppgiftsbehandling för forskningsändamål;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Forskningsdatautredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Personuppgiftsbehandling för forskningsändamål;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet Helene Hellmark Knutsson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 7//RO|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obj//1 2016//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//21 med//PP//case//15 anledning//NN|UTR|SIN|IND|NOM//obl//21 av//PP//case//17 EU//PM|NOM//nmod//15 ://MID//punct//15 s//NN|NEU|SIN|IND|GEN//case//20 dataskyddsförordning//NN|UTR|SIN|IND|NOM//obl//21 föreslå//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//24 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 reglering//NN|UTR|SIN|IND|NOM//obj//21 av//PP//case//26 behandling//NN|UTR|SIN|IND|NOM//nmod//24 av//PP//case//28 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//26 för//PP//case//30 forskningsändamål//NN|NEU|PLU|IND|NOM//nmod//28 ,//MID//punct//21 med//PP//case//33 syftet//NN|NEU|SIN|DEF|NOM//obl//21 att//IE//mark//35 möjliggöra//VB|INF|AKT//acl//33 en//DT|UTR|SIN|IND//det//38 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//38 behandling//NN|UTR|SIN|IND|NOM//obj//35 av//PP//case//40 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//38 för//PP//case//42 forskningsändamål//NN|NEU|PLU|IND|NOM//nmod//40 samtidigt//AB//mark//47 som//HA//fixed//43 den//DT|UTR|SIN|DEF//det//46 enskildes//JJ|POS|MAS|SIN|DEF|GEN//amod//47 fri-//JJ|POS|UTR|-|-|SMS//obl//35 och//KN//cc//49 rättigheter//NN|UTR|PLU|IND|NOM//conj//47 skyddas//VB|PRS|SFO//xcomp//1 (//PAD//punct//50 dir//NN|AN//appos//50 .//MAD//punct//50
Till statsrådet Helene Hellmark Knutsson;2016:65//RG|NOM//obl//1 )//PAD//punct//54 .//MAD//punct//1
Till statsrådet Helene Hellmark Knutsson;Den//DT|UTR|SIN|DEF//det//59 16//RG|NOM//nummod//59 mars//NN|UTR|SIN|IND|NOM//nsubj//61 2017//RG|NOM//nummod//59 beslutade//VB|PRT|AKT//conj//1 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//61 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//xcomp//61 till//PP//case//65 utredningen//NN|UTR|SIN|DEF|NOM//obl//63 (//PAD//punct//65 dir//NN|AN//appos//65 .//MAD//punct//61
Till statsrådet Helene Hellmark Knutsson;2017:29//RG|NOM//obl//61 )//PAD//punct//72 med//PP//case//72 uppdrag//NN|NEU|SIN|IND|NOM//obl//61 att//IE//mark//74 analysera//VB|INF|AKT//acl//72 vilka//HD|UTR/NEU|PLU|IND//det//77 rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 förutsättningar//NN|UTR|PLU|IND|NOM//obj//74 som//HP|-|-|-//nsubj//79 finns//VB|PRS|SFO//acl:relcl//77 i//PP//case//81 dataskyddsförordningen//NN|UTR|SIN|DEF|NOM//obl//79 för//PP//case//83 behandling//NN|UTR|SIN|IND|NOM//nmod//81 av//PP//case//85 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//83 i//PP//case//89 Kungl.//JJ|AN//amod//88 bibliotekets//NN|NEU|SIN|DEF|GEN//nmod:poss//89 verksamhet//NN|UTR|SIN|IND|NOM//nmod//85 ,//MID//punct//92 samt//KN//cc//92 beslutade//VB|PRT|AKT//conj//61 att//SN//mark//96 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//96 ska//VB|PRS|AKT//aux//96 slutredovisas//VB|INF|SFO//ccomp//92 senast//AB|SUV//case//100 den//DT|UTR|SIN|DEF//det//100 27//RG|NOM//nummod//100 april//NN|UTR|SIN|IND|NOM//obl//96 2018//RG|NOM//nummod//100 .//MAD//punct//1
Till statsrådet Helene Hellmark Knutsson;Som//KN//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 7//RO|NOM//nummod//6 juli//NN|UTR|SIN|IND|NOM//nsubj:pass//3 2016//RG|NOM//nummod//8 professor//NN|UTR|SIN|IND|NOM//nmod//9 Cecilia//PM|NOM//nmod//6 Magnusson//PM|NOM//flat:name//9 Sjöberg//PM|NOM//flat:name//10 .//MAD//punct//3
Till statsrådet Helene Hellmark Knutsson;Som//KN//mark//1 huvudsekreterare//NN|UTR|SIN|IND|NOM//obl//2 anställdes//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 1//RO|NOM//nummod//5 september//NN|UTR|SIN|IND|NOM//nsubj:pass//2 2016//RG|NOM//nummod//5 Linda//PM|NOM//obl:agent//2 Stridsberg//PM|NOM//flat:name//7 .//MAD//punct//2
Till statsrådet Helene Hellmark Knutsson;Samma//DT|UTR/NEU|SIN/PLU|IND//det//11 dag//NN|UTR|SIN|IND|NOM//obl//12 anställdes//VB|PRT|SFO//parataxis//2 Staffan//PM|NOM//nsubj:pass//12 Malmgren//PM|NOM//flat//13 som//KN//mark//16 utredningssekreterare//NN|UTR|SIN|IND|NOM//xcomp//12 .//MAD//punct//2
Till statsrådet Helene Hellmark Knutsson;Den//DT|UTR|SIN|DEF//det//20 26//RG|NOM//nummod//20 september//NN|UTR|SIN|IND|NOM//obl//21 anställdes//VB|PRT|SFO//parataxis//2 Magnus//PM|NOM//nsubj:pass//21 Stenbeck//PM|NOM//flat:name//22 som//KN//mark//25 utredningssekreterare//NN|UTR|SIN|IND|NOM//xcomp//21 .//MAD//punct//2
