Polisens behov av stöd i samband med terrorismbekämpning;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Stödutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Polisens behov av stöd i samband med terrorismbekämpning;Stockholm//PM|NOM//ROOT//0 2005//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 23//RG|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 2004//RG|NOM//nummod//6 kommittédirektiv//NN|NEU|PLU|IND|NOM//obj//1 för//PP//case//9 en//DT|UTR|SIN|IND//det//9 utredning//NN|UTR|SIN|IND|NOM//nmod//6 om//PP//mark//15 vilket//HD|NEU|SIN|IND//det//12 stöd//NN|NEU|SIN|IND|NOM//dislocated//15 Polisen//NN|UTR|SIN|DEF|NOM//nsubj//15 kan//VB|PRS|AKT//aux//15 behöva//VB|INF|AKT//acl//9 från//PP//case//18 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 myndigheter//NN|UTR|PLU|IND|NOM//obl//15 ,//MID//punct//18 särskilt//AB//advmod//21 Försvarsmakten//NN|UTR|SIN|DEF|NOM//appos//18 ,//MID//punct//27 när//HA//mark//27 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//23 gäller//VB|PRS|AKT//fixed//23 att//IE//mark//27 förhindra//VB|INF|AKT//advcl//1 och//KN//cc//29 ingripa//VB|INF|AKT//conj//27 mot//PP//case//31 terroristaktioner//NN|UTR|PLU|IND|NOM//obl//29 och//KN//cc//37 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//37 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 brottsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 angrepp//NN|NEU|PLU|IND|NOM//conj//31 på//PP//case//39 samhället//NN|NEU|SIN|DEF|NOM//nmod//37 .//MAD//punct//27
Till statsrådet och chefen för Justitiedepartementet;Chefen//NN|UTR|SIN|DEF|NOM//parataxis//27 för//PP//case//45 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//45 kriminaltekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//45 laboratorium//NN|NEU|SIN|IND|NOM//nmod//41 ,//MID//punct//48 överdirektören//NN|UTR|SIN|DEF|NOM//nmod//48 Olof//PM|NOM//conj//41 Egerstedt//PM|NOM//flat:name//48 ,//MID//punct//51 förordnades//VB|PRT|SFO//conj//27 som//KN//mark//54 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//54 utredare//NN|UTR|SIN|IND|NOM//obl//51 den//DT|UTR|SIN|DEF//det//57 11//RG|NOM//nummod//57 november//NN|UTR|SIN|IND|NOM//obl//51 2004//RG|NOM//nummod//57 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 antog//VB|PRT|AKT//ROOT//1 namnet//NN|NEU|SIN|DEF|NOM//nmod//3 Stödutredningen//NN|UTR|SIN|DEF|NOM//obj//1 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Följande//NN|NEU|SIN|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 som//KN//mark//3 experter//NN|UTR|PLU|IND|NOM//nsubj//4 biträtt//VB|SUP|AKT//ROOT//4 utredningen//NN|UTR|SIN|DEF|NOM//obj//4 ://MID//punct//5
Till statsrådet och chefen för Justitiedepartementet;Arne//PM|NOM//appos//5 Andersson//PM|NOM//flat:name//7 (//PAD//punct//7 polisintendent//NN|UTR|SIN|IND|NOM//appos//7 )//PAD//punct//10 ,//MID//punct//13 Maria//PM|NOM//conj//5 Diamant//PM|NOM//flat//13 (//PAD//punct//16 ämnesråd//NN|NEU|SIN|IND|NOM//appos//13 )//PAD//punct//16 ,//MID//punct//19 Lars//PM|NOM//conj//5 Engström//PM|NOM//flat:name//19 (//PAD//punct//19 länspolismästare//NN|UTR|SIN|IND|NOM//appos//19 )//PAD//punct//19 ,//MID//punct//25 Sverker//PM|NOM//parataxis//4 Göranson//PM|NOM//flat:name//25 (//PAD//punct//28 generalmajor//NN|UTR|SIN|IND|NOM//appos//25 )//PAD//punct//28 ,//MID//punct//25 Fredrik//PM|NOM//conj//25 Hassel//PM|NOM//flat:name//31 (//PAD//punct//31 stabschef//NN|UTR|SIN|IND|NOM//appos//31 )//PAD//punct//34 ,//MID//punct//41 Stefan//PM|NOM//nmod:poss//41 Ryding//PM|NOM//flat//37 Berg//PM|NOM//flat:name//38 (//PAD//punct//38 chefsjurist//NN|UTR|SIN|IND|NOM//conj//31 )//PAD//punct//41 och//KN//cc//44 Staffan//PM|NOM//conj//31 Schyberg//PM|NOM//flat//44 (//PAD//punct//47 verksjurist//NN|UTR|SIN|IND|NOM//appos//44 )//PAD//punct//47 .//MAD//punct//25
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//1 utredningen//NN|UTR|SIN|DEF|NOM//obl//5 har//VB|PRS|AKT//aux//5 också//AB//advmod//5 varit//VB|SUP|AKT//cop//5 knuten//PC|PRF|UTR|SIN|IND|NOM//ROOT//5 en//DT|UTR|SIN|IND//det//7 referensgrupp//NN|UTR|SIN|IND|NOM//nsubj//5 med//PP//case//9 representanter//NN|UTR|PLU|IND|NOM//nmod//7 för//PP//case//12 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//12 riksdagspartier//NN|UTR|PLU|IND|NOM//nmod//9 .//MAD//punct//5
Till statsrådet och chefen för Justitiedepartementet;I//PP//case//15 gruppen//NN|UTR|SIN|DEF|NOM//obl//17 har//VB|PRS|AKT//aux//17 ingått//VB|SUP|AKT//parataxis//5 Ragnwi//PM|NOM//nmod//19 Marcelind//PM|NOM//nsubj//17 (//PAD//punct//21 kristdemokraterna//NN|UTR|PLU|DEF|NOM//appos//19 )//PAD//punct//21 ,//MID//punct//24 Rolf//PM|NOM//conj//19 Olsson//PM|NOM//flat:name//24 (//PAD//punct//24 vänsterpartiet//NN|NEU|SIN|DEF|NOM//appos//24 )//PAD//punct//24 ,//MID//punct//30 Johan//PM|NOM//conj//19 Pehrson//PM|NOM//flat//30 (//PAD//punct//30 folkpartiet//NN|NEU|SIN|DEF|NOM//nmod//34 liberalerna//NN|UTR|PLU|DEF|NOM//appos//30 )//PAD//punct//30 ,//MID//punct//37 Margareta//PM|NOM//conj//19 Sandgren//PM|NOM//flat:name//37 (//PAD//punct//37 socialdemokraterna//NN|UTR|PLU|DEF|NOM//appos//37 )//PAD//punct//37 och//KN//cc//44 Rigmor//PM|NOM//nmod//44 Stenmark//PM|NOM//conj//19 (//PAD//punct//44 centerpartiet//NN|NEU|SIN|DEF|NOM//appos//44 )//PAD//punct//44 .//MAD//punct//17
Till statsrådet och chefen för Justitiedepartementet;Sekreterare//NN|UTR|SIN|IND|NOM//nsubj//3 i//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//advmod//3 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//ROOT//5 Katarina//PM|NOM//nsubj//5 Adolfson//PM|NOM//flat//6 .//MID//punct//5
