Ökad säkerhet i domsto l ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 säkerhet//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//6 domstol//NN|UTR|SIN|IND|NOM//nmod//4
Ökad säkerhet i domsto l ;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 bemyndigade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 16//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2008//RG|NOM//nummod//6 chefen//NN|UTR|SIN|DEF|NOM//obj//1 för//PP//case//8 Justitiedepartementet//NN|NEU|SIN|DEF|NOM//nmod//6 att//IE//mark//10 tillkalla//VB|INF|AKT//acl//6 en//DT|UTR|SIN|IND//det//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 utredare//NN|UTR|SIN|IND|NOM//obj//10 med//PP//case//15 uppdrag//NN|NEU|SIN|IND|NOM//obl//10 bl.a.//AB|AN//advmod//18 att//IE//mark//18 kartlägga//VB|INF|AKT//advcl//1 säkerhetsriskerna//NN|UTR|PLU|DEF|NOM//obj//18 mot//PP//case//21 domstolarna//NN|UTR|PLU|DEF|NOM//obl//18 och//KN//cc//27 –//RG|NOM//punct//27 om//SN//mark//27 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//27 skulle//VB|PRT|AKT//aux//27 bedöma//VB|INF|AKT//conj//1 att//SN//mark//30 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 finns//VB|PRS|SFO//ccomp//27 ett//DT|NEU|SIN|IND//det//32 behov//NN|NEU|SIN|IND|NOM//nsubj//30 av//PP//mark//35 att//IE//mark//35 utöka//VB|INF|AKT//acl//32 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//35 att//IE//mark//38 besluta//VB|INF|AKT//acl//36 om//PP//case//40 säkerhetskontroll//NN|UTR|SIN|IND|NOM//obl//38 i//PP//case//42 domstol//NN|UTR|SIN|IND|NOM//obl//38 –//RG|NOM//punct//30 lämna//VB|INF|AKT//conj//30 förslag//NN|NEU|SIN|IND|NOM//obj//44 till//PP//case//48 de//DT|UTR/NEU|PLU|DEF//det//48 lagändringar//NN|UTR|PLU|IND|NOM//obl//44 som//HP|-|-|-//nsubj:pass//50 krävs//VB|PRS|SFO//acl:relcl//48 .//MID//punct//1
Till statsrådet och chefen för Justitiedepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//55 skulle//VB|PRT|AKT//aux//55 även//AB//advmod//55 överväga//VB|INF|AKT//conj//1 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 frågor//NN|UTR|PLU|IND|NOM//obj//55 med//PP//case//60 anknytning//NN|UTR|SIN|IND|NOM//obl//55 till//PP//case//62 lagen//NN|UTR|SIN|DEF|NOM//obl//55 (//PAD//punct//64 1981:1064//RG|NOM//appos//62 )//PAD//punct//64 om//PP//case//67 säkerhetskontroll//NN|UTR|SIN|IND|NOM//obl//55 i//PP//case//69 domstol//NN|UTR|SIN|IND|NOM//nmod//67 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//case//3 bemyndigandet//NN|NEU|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//8 21//RG|NOM//nummod//8 oktober//NN|UTR|SIN|IND|NOM//nmod//11 2008//RG|NOM//nummod//10 hovrättslagmannen//NN|UTR|SIN|DEF|NOM//nmod//11 Krister//PM|NOM//nsubj//4 Thelin//PM|NOM//flat:name//11 som//KN//mark//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 8//RO|NOM//nummod//6 januari//NN|UTR|SIN|IND|NOM//nmod//9 2009//RG|NOM//nummod//8 lagmannen//NN|UTR|SIN|DEF|NOM//nmod//9 Bengt-Åke//PM|NOM//obl//2 Engström//PM|NOM//flat:name//9 ,//MID//punct//9 kommissarien//NN|UTR|SIN|DEF|NOM//nmod//13 Mikael//PM|NOM//conj//9 Hiljegren//PM|NOM//flat:name//13 ,//MID//punct//16 kriminalvårdschefen//NN|UTR|SIN|DEF|NOM//conj//9 Elisabet//PM|NOM//flat//16 Åbjörnsson//PM|NOM//flat:name//9 Hollmark//PM|NOM//flat:name//9 ,//MID//punct//9 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//amod//31 Anders//PM|NOM//nmod//31 Hübinette//PM|NOM//flat//22 ,//MID//punct//22 chefsåklagaren//NN|UTR|SIN|DEF|NOM//nmod//26 Carina//PM|NOM//appos//22 Maxson//PM|NOM//flat:name//26 och//KN//cc//30 ställföreträdande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 chefsjuristen//NN|UTR|SIN|DEF|NOM//conj//22 Johan//PM|NOM//appos//9 Sangborn//PM|NOM//flat:name//31 (//PAD//punct//31 Sveriges//PM|GEN//nmod:poss//35 advokatsamfund//NN|NEU|SIN|IND|NOM//appos//31 )//PAD//punct//9 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 Per//PM|NOM//flat:name//0 Olsson//PM|NOM//flat:name//1 anställdes//VB|PRT|SFO//ROOT//3 fr.o.m.//AB|AN//case//7 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 november//NN|UTR|SIN|IND|NOM//obl//3 2008//RG|NOM//nummod//7 som//KN//case//10 sekreterare//NN|UTR|SIN|IND|NOM//obl//3 i//PP//case//12 utredningen//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//18 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Utredningen//NN|UTR|SIN|DEF|NOM//obj//4 om//PP//case//8 säkerhet//NN|UTR|SIN|IND|NOM//nmod//6 i//PP//case//10 domstol//NN|UTR|SIN|IND|NOM//nmod//8 (//PAD//punct//0 Ju//NN|AN//advmod//13 2008:15//RG|NOM//appos//0 )//PAD//punct//0 ,//MID//punct//0 får//VB|PRS|AKT//aux//18 härmed//AB//advmod//18 överlämna//VB|INF|AKT//ROOT//18 betänkandet//NN|NEU|SIN|DEF|NOM//obj//18 Ökad//PC|PRF|UTR|SIN|IND|NOM//amod//21 säkerhet//NN|UTR|SIN|IND|NOM//obj//18 i//PP//case//23 domstol//NN|UTR|SIN|IND|NOM//obl//18  //_SP////23 (//PAD//punct//18 SOU//PM|NOM//appos//18 2009:78//RG|NOM//obl//18 )//PAD//punct//18 .//MAD//punct//18
Till statsrådet och chefen för Justitiedepartementet;Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Arild//PM|NOM//ROOT//0 i//PP//case//2 september//NN|UTR|SIN|IND|NOM//nmod//0 2009//RG|NOM//nummod//2
