Logistik för högre försvarsberedskap;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
Logistik för högre försvarsberedskap;Översyn//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 materiel-//NN|UTR|-|-|SMS//nmod//0 och//KN//cc//4 logistikförsörjningen//NN|UTR|SIN|DEF|NOM//conj//2 till//PP//case//6 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//4
Logistik för högre försvarsberedskap;Stockholm//PM|NOM//ROOT//0 2016//RG|NOM//nummod//0

Till statsrådet Peter Hultqvist;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 25//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 2015//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 (//PAD//punct//10 dir//NN|AN//appos//10 .//MAD//punct//10
Till statsrådet Peter Hultqvist;2015:71//RG|NOM//obl//7 )//PAD//punct//14 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//19 göra//VB|INF|AKT//acl//17 en//DT|UTR|SIN|IND//det//21 översyn//NN|UTR|SIN|IND|NOM//obj//19 av//PP//case//23 materiel-//NN|UTR|-|-|SMS//nmod//21 och//KN//cc//25 logistikförsörjningen//NN|UTR|SIN|DEF|NOM//conj//23 till//PP//case//27 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//19 .//MAD//punct//4
Till statsrådet Peter Hultqvist;Detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//1 för//PP//mark//34 att//SN//mark//34 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 ska//VB|PRS|AKT//aux//34 bli//VB|INF|AKT//acl//29 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//34 för//PP//case//37 regeringen//NN|UTR|SIN|DEF|NOM//obl//35 att//IE//mark//44 ,//MID//punct//44 med//PP//case//42 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 resurser//NN|UTR|PLU|IND|NOM//obl//44 ,//MID//punct//44 utforma//VB|INF|AKT//xcomp//34 och//KN//cc//46 organisera//VB|INF|AKT//conj//34 denna//PN|UTR|SIN|DEF|SUB/OBJ//obj//46 med//PP//case//53 hänsyn//NN|UTR|SIN|IND|NOM//fixed//48 till//PP//fixed//48 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//53 justerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//53 mål//NN|NEU|SIN|IND|NOM//obl//46 i//PP//case//60 enlighet//NN|UTR|SIN|IND|NOM//fixed//54 med//PP//fixed//54 2015//RG|NOM//nummod//58 års//NN|NEU|SIN|IND|GEN//nmod:poss//60 försvarspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 inriktningsproposition//NN|UTR|SIN|IND|NOM//nmod//53 .//MAD//punct//1
Till statsrådet Peter Hultqvist;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 september//NN|UTR|SIN|IND|NOM//obl//4 2015//RG|NOM//nummod//2 förordnade//VB|PRT|AKT//ROOT//4 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//6 Hultqvist//PM|NOM//nsubj//4 förutvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 kanslichefen//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//12 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 försvarsutskott//NN|NEU|SIN|IND|NOM//nmod//12 Ingemar//PM|NOM//nmod//8 Wahlberg//PM|NOM//flat//12 som//KN//mark//16 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//16 utredare//NN|UTR|SIN|IND|NOM//nmod//8 .//MAD//punct//4
Till statsrådet Peter Hultqvist;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 oktober//NN|UTR|SIN|IND|NOM//obl//4 2015//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//6 Katja//PM|NOM//nsubj:pass//4 Anell//PM|NOM//flat:name//6 ,//MID//punct//9 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//6 ,//MID//punct//6 och//KN//cc//24 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//13 Mårten//PM|NOM//nmod//24 Levin//PM|NOM//flat:name//13 ,//MID//punct//16 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//13 ,//MID//punct//13 och//KN//cc//21 den//DT|UTR|SIN|DEF//det//21 8//RO|NOM//nummod//21 oktober//NN|UTR|SIN|IND|NOM//conj//13 2015//RG|NOM//nummod//21 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//24 Tommy//PM|NOM//conj//6 Åkesson//PM|NOM//flat:name//24 ,//MID//punct//27 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//6 ,//MID//punct//6 alla//DT|UTR/NEU|PLU|IND/DEF//det//30 tre//RG|NOM//conj//4 som//KN//case//32 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//30 .//MAD//punct//4
Till statsrådet Peter Hultqvist;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 oktober//NN|UTR|SIN|IND|NOM//obl//4 2015//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 brigadgeneralen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 ,//MID//punct//7 sedermera//AB//conj//4 generalmajoren//NN|UTR|SIN|DEF|NOM//obj//7 ,//MID//punct//10 Fredrik//PM|NOM//conj//4 Robertsson//PM|NOM//flat:name//10 ,//MID//punct//13 Försvarsmakten//NN|UTR|SIN|DEF|NOM//conj//10 ,//MID//punct//10 och//KN//cc//16 chefen//NN|UTR|SIN|DEF|NOM//conj//4 för//PP//case//18 ledningsstaben//NN|UTR|SIN|DEF|NOM//nmod//19 Marie//PM|NOM//nmod//16 Holmberg//PM|NOM//flat:name//19 ,//MID//punct//23 Försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 materielverk//NN|NEU|SIN|IND|NOM//conj//19 ,//MID//punct//23 som//KN//case//26 experter//NN|UTR|PLU|IND|NOM//appos//16 .//MAD//punct//4
Till statsrådet Peter Hultqvist;Den//DT|UTR|SIN|DEF//det//2 21//RG|NOM//nummod//2 september//NN|UTR|SIN|IND|NOM//obl//4 2015//RG|NOM//nummod//2 anställdes//VB|PRT|SFO//ROOT//4 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//6 Robert//PM|NOM//nsubj:pass//4 Ihrfors//PM|NOM//flat:name//6 ,//MID//punct//6 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 ,//MID//punct//9 som//KN//case//12 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 till//AB//case//18 och//KN//fixed//13 med//AB//fixed//13 den//DT|UTR|SIN|DEF//det//18 31//RG|NOM//nummod//18 december//NN|UTR|SIN|IND|NOM//nmod//12 2015//RG|NOM//nummod//18 .//MAD//punct//4
